Date,Open,High,Low,Close,Adj Close,Volume,Google Trends
12/17/2009,60.639999,60.639999,60.040001,60.040001,45.681187,8336100,36
12/18/2009,59.919998,59.919998,58.77,59.48,45.2551,18604200,48
12/21/2009,59.720001,60.73,59.599998,60.48,46.015961,7973000,35
12/22/2009,60.57,60.790001,60.25,60.630001,46.130081,6026000,32
12/23/2009,60.869999,60.869999,60.25,60.68,46.168121,3829000,28
12/24/2009,60.66,60.959999,60.400002,60.959999,46.381165,1502900,35
12/28/2009,61.189999,61.25,60.869999,61.16,46.533329,4364200,30
12/29/2009,61.290001,61.59,61.099998,61.099998,46.487679,3787000,30
12/30/2009,61,61.450001,60.869999,61.310001,46.647449,3779400,32
12/31/2009,61.25,61.439999,60.759998,60.799999,46.259422,3316300,36
1/4/2010,61.189999,61.52,60.639999,61.240002,46.594196,6585900,35
1/5/2010,61,62.099998,60.900002,61.98,47.157219,8886000,52
1/6/2010,61.990002,62.470001,61.23,61.360001,46.685482,9998000,30
1/7/2010,61.349998,61.380001,60.529999,60.970001,46.388771,10792000,42
1/8/2010,60.759998,60.82,60.27,60.77,46.236595,8674700,25
1/11/2010,60.68,60.810001,60.099998,60.700001,46.183334,6461200,22
1/12/2010,60.52,61.68,60.5,61.549999,46.830051,9081800,47
1/13/2010,61.41,62.34,61.41,62.049999,47.210476,7380100,43
1/14/2010,62.02,62.919998,61.759998,62.799999,47.78112,7211600,49
1/15/2010,62.610001,62.91,61.82,62.290001,47.393085,8361200,47
1/19/2010,62.23,62.41,61.970001,62.330002,47.423523,5615800,50
1/20/2010,62.09,62.150002,61.439999,61.950001,47.134407,5606000,37
1/21/2010,62.009998,62.16,60.740002,60.939999,46.365955,7121500,56
1/22/2010,60.75,61.240002,60.310001,60.389999,45.947472,7229000,41
1/25/2010,60.700001,60.700001,60.080002,60.23,45.825741,4903800,61
1/26/2010,60.099998,60.529999,59.82,60.25,45.840946,5001700,53
1/27/2010,60.049999,60.389999,59.599998,60.290001,45.871387,6145900,100
1/28/2010,60.299999,60.5,59.5,59.740002,45.45293,9285900,43
1/29/2010,59.84,60.360001,59.119999,59.619999,45.361626,8127200,41
2/1/2010,59.93,60.75,59.52,60.700001,46.183334,7303200,48
2/2/2010,60.68,61.279999,60.34,61.150002,46.525719,6296700,35
2/3/2010,60.919998,61.400002,60.560001,61.290001,46.632236,4863000,32
2/4/2010,60.830002,60.93,59.619999,59.639999,45.376831,6920300,28
2/5/2010,59.509998,59.790001,58.950001,59.509998,45.277931,7347800,35
2/8/2010,59.599998,59.66,58.75,58.959999,44.859455,7047700,30
2/9/2010,59.290001,60.48,59.290001,60.049999,45.688789,7940200,30
2/10/2010,59.959999,60.669998,59.509998,60.380001,45.939857,10917200,32
2/11/2010,60.869999,61.700001,60.5,61.189999,46.55616,14391100,36
2/12/2010,61.060001,61.220001,60.490002,60.919998,46.350723,8566800,35
2/16/2010,61.029999,61.450001,60.5,61.310001,46.647449,6930800,52
2/17/2010,61.48,62.200001,61.25,62.110001,47.25613,6703500,30
2/18/2010,61.970001,62.720001,61.970001,62.529999,47.57568,6942900,42
2/19/2010,62.32,62.919998,61.98,62.66,47.674595,6416500,25
2/22/2010,62.689999,62.869999,62.099998,62.41,47.48439,4709500,22
